город,оценка,дата,отзыв,URL
Тула,4,"Отзыв написан 5 января, 2021, 09:34","Город промышленный и туристам здесь смотреть особо нечего, хотя в последнее время власти многое делают для реставрации и привлечения туристов. Построили набережную, В Кремле чисто и красиво.Интересен новый музей оружия. Экскурсии познавательные и проводятся концерты. Во дворе выставка военной техники.Сувениры из Китая. Свои только пряники, очень вкусные.Останавливались на квартире. Грязно, отношение к гостям по крайней мере равнодушное. Цены на рынке как в Москве, своего ничего нет, в смысле домашней курицы и мяса не найдёшь.Транспорт это автобусы переполнены несмотря на выходной. Город рабочий, много пьяных, вечером особо не погуляешь На день можно приехать на ласточке а вечером домой.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Кострома,5,"Отзыв написан 5 января, 2021, 09:07","Кострома застыл в 19— начале 20 века, по крайней мере центр города. Дома купеческие с большими дворами 2 этажные создают неповторимый колорит и своеобразную визитную карточку. Интересный памятник Ленину в городском парке. Сооружён на постаменте 1913 г под памятник 300 летию дома Романовых и отлит из тех скульптур, которые были изготовлены для памятника династии. Это придаёт своеобразный колорит.Обязательно нужно пройтись по торговым рядам, попробовать сыр на ярмарке, сходить в музеи, коих бесчисленное множество.Запомнился музей дворянского собрания. Уникальный и единственный в РоссииАнастасьевский женский монастырь с иконой Феодоровской Богоматери.Конечно Ипатьевской монастырь.Общественное питание неплохо в сети избушка.Рестораны заполнены. Хорош Камелот, а в Варваре шумно и дорогоЕхать удобно ласточкой из Москвы. Всего 4 час",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Негодяйка,5,"Отзыв написан 5 января, 2021, 05:24",Великолепный город! Очень Довольна!!! Не зря называют второй столицей Россиии,https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Гридино,5,"Отзыв написан 4 января, 2021, 23:15","А больше нет фото деревни Гридино?Она давно вымершая,но очень хочется посмотреть как там сейчас,была там последний раз 25 лет назад,там прошло детство..",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Мурманск,1,"Отзыв написан 29 декабря, 2020, 12:50","Никакого смысла больше нет сидеть в Мурманске! Власть имущие довели город до ручки, одна показуха делается. Работы для народа минимум, а та, что есть — со смешными для Крайнего Севера зарплатами. Полярки давно превратились в фикцию! ЖКХ вообще как слон — сколько ни давай, все мало. Тарифы на все коммунальные услуги завышены, отопление дорогущее, потому что кому-то выгодно чтобы на мазуте было, а не на природном газе, как в остальных регионах. Бензин дороже чем в соседних регионах, проезд в общественном транспорте тоже. Все только сокращается и урезается. Называется это умным словом оптимизация. Благоустроенности почти никакой. Во дворах кошмар просто. Даже в центре города. Все в куче — и машины, и газоны, и детские площадки, и помойки. Летом заросли крапивы, зимой завалы снега. Климат не для жизни, терпеть его, имея материальные условия как в средней полосе, не имеет никакого смысла совершенно! Рынок недвижимости стоит давно, потому что предложения превышают спрос. Еле-еле сдыхались с женой от своих двух двушек и купили двушку и дачу в Калининграде. Уже почти год тут живем. Это небо и земля! И климат и развитие города и благоустройство и инфраструктура и затраты на проживание. В Кёниге мягкая малоснежная зима без холодов и полярных ночей, ранняя весна и теплое лето без сильной жары и осень без снега. В области практически все растет на земле и можно иметь свое. До моря в любой прибрежный город полчаса на авто и 40 минут за 80 рублей на новой электричке ласточка. Много ухоженных парков и мест отдыха для отдыха с детьми. Множество исторических достопримечательностей. Перед чемпионатом мира по футболу капитально отремонтированы дороги и тротуары. Построен современный футбольный стадион, реконструирован аэропорт и постоянно строятся новые транспортные развязки. Целые жилмассивы современного жилья строят каждый год. ЖКХ дешевле намного - куб газа 8 рублей, отопление автономное дешевле в разы и оплачивается только когда пользуешься. А Мурманск в своем развитии остановился в 1991 году: в 90-е годы все падали, но в нулевые одни города, как тот же Калининград пошли вверх, а Мурманск — на дно. Контраст очень сильно ощущается. В Мурманске самым лучшим жильем до сих пор считают девятиэтажки серии 93м, построенные еще в перестройку, с батареями в стене! До сих пор стоят целые кварталы деревянных бараков, многие с удобствами на улице! Выйти просто погулять с детьми некуда! В советские годы наши родители ехали на север зарабатывать. Тогда было престижно жить и работать на севере и в Мурманск ехали целеустремленные люди со всей страны. Государство вкладывало в Крайний Север немалые деньги. Было много стоящей работы — рыбный порт, плавбазы, дск и т.д. Много чего было хорошего. Все тогда хорошо на севере зарабатывали, везде нас уважали, потому что мы всегда при деньгах были. Снабжался Мурманск очень хорошо, рыба какая хочешь была, и все копейки стоило. В отпуск на самолетах летали каждый год, дефицит из рейсов из-за границы возили. А сейчас ни работы, ни денег, поставили фонтаны и, мол, живите как в средней полосе. Неудивительно, что народ разбегается. Времена сытого севера закончились вместе с государством под вывеской СССР. Нечего больше на севере делать при нынешнем раскладе.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Пригородный,4,"Отзыв написан 29 декабря, 2020, 11:35","Я прожил в Воркуте более 25 лет и с каждым годом узнаю новые истории, которые нельзя забыть. В 2018 я был за Воркутой в заброшенном посёлке “Пригородный”, что на станции Песец близ Воркуты. Недалеко от деревни Никита (бывшая пристань Воркута-Вом). Многие из Воркутинцев, проезжая на поезде, могут видеть крест, установленный на вершине. Это и есть посёлок Пригородный. На этом кресте была надпись: ""Господи! Спаси наши души заключенных. Ты упал как подрубленная елочка, опустил голову в землю, жил и не знал, что есть вечный покой. Аминь”. Дело в том, что в 1940-е и 1950-е годы в деревне Никита, был лагерь для политзаключенных. Однажды арестанты подняли восстание, заработали пулеметы, убили около 80 человек. Ещё живы свидетели тех событий. Существует мнение, что об этом восстании писал Солженицын, но допустил ошибку сказав, что заключенные строили железнодорожную ветку Сивая Маска - Лабытнанги, а на самом деле они прокладывали путь Хановей - Воркута.Об этом нужно помнить, тем более что архивы закрыты.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Махачкала,4,"Отзыв написан 26 декабря, 2020, 18:39","Писать о столицах сложно, о них всегда много написано, посему я напишу лишь о своих впечатлениях. Сразу оговорюсь я видел не всю Махачкалу, а только её отдельные районы: южный и северный автовокзал, рынок у ЦУМа и район улицы Булача и озера Ак-Гёль.В октябре из-за длительного отсутствия дождя всё пересохло, поелику часто ветер поднимал в воздух тучу пыли. Это создавало массу неудобства, но что поделаешь, с климатом не поспоришь.Рынок мне понравился изобилием местных продуктов и их ценой, но главное качество. В Москве фрукты привезённые агрофирмами не натуральные - ни вкуса, ни запаха. А здесь ... Помидор пахнет помидором, виноград - виноградом, вкус - из забытого советского детства. Ароматы натуральных продуктов витают над прилавками и пусть кому-то не нравится запахи мяса и рыбы. Таким советую идти по адресу. Натуральное и пахнет натурально, а не отдушками и химией.Несколько слов о застройке районов озера Ак-гель. Нет здесь архитектуры, увы нет. Ну скажите на милость, на фига здесь высотные дома. Климат жаркий, солнца хоть убавляй, а вы фигачите многоэтажки. В них же задохнёшься! А кондиционеры на шо, скажите вы? Не знаю, но я в таком доме жить не буду. Раньше, как строили? Окна на юг в виде щели и побольше - на север. На юге солнце стоит высоко и в окна солнечные лучи не проникают, хотя светло. Опять же естественная вентиляция работала. А ныне? Понастроили каменных мешков и радуются. И смех, и грех!Город разноплановый. есть интересные места, куда хотелось заглянуть, например, сквер Дружбы, а есть, в которые лишь по необходимости заходишь, как на южный автовокзал. Жуть, да и только. Сугубо личное мнение.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Талги,5,"Отзыв написан 25 декабря, 2020, 13:38","Талги — село в Дагестане в долине реки Черкес-озень (Талгинка), входящее в городской округ города Махачкала. С началом строительства курортного санатория в начале 30-х годов и открытием бальнеологического санатория «Талги» село стало известно на всю Европу. Воды санатория не имеют аналогов в Европе. Это и определило дальнейшую судьбу села. Ныне оно развивается, население неуклонно растёт и составляет более 1,5 тысяч человек. Национальная основа села — даргинцы, более 71%, есть и аварцы (13,6%), кумыки (10,6%), табасараны (2,1%).",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Чирката,4,"Отзыв написан 25 декабря, 2020, 13:19","Чирката — ещё одно интересное село Дагестана. Поселение раскинулось в живописной долине Андийское Койсу на высоте 450 метров над уровнем моря. Несмотря на это, село утопает в зелени. Практически у каждого жителя этого района на придомовом участке растут фруктовые деревья. С южной стороны поселение граничит с другим — Ашильтой. Чирката моноэтническое аварское село. Население превышает две тысячи человек и постоянно растёт, что говорит о благополучии Гумбетовского района. На территории села есть месторождение серы. Его разработка хотя и ведётся, но ни шатко ни валко. Через село проходит хорошая асфальтированная дорога, соединяющая глубинные районы Дагестана с городом Буйнакск, то бишь горную и равнинную части.В Чирката находилась резиденция имама Шамиля во времена Кавказских войн. Во время 80-ти дневной осады Ахульго все жители переселились в эту крепость. Одним из первых шахидов на Ахульго был житель Чирката.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Дубки,4,"Отзыв написан 24 декабря, 2020, 10:07","Дубки посёлок городского типа в Казбековском районе Дагестана, построенный на горе Хадум на высоте 860 метров над уровнем моря. Образованный как рабочий посёлок гидростроителей Чиркейской ГЭС. Застроен в основном панельными пятиэтажками. Есть и одно- и двухэтажные дома. Население посёлка составляет 5409 человек. Представители трёх-четырёх национальностей сформировали состав населения: аварцы, кумыки, русские и даргинцы. Есть и представители других национальностей: лакцы, даргинцы. Экономически активная часть населения в основном является сотрудниками Чиркейской ГЭС. В администрацию входят пять человек. В посёлке два детских сада, школа, больница, Дворец культуры, библиотека, отдел полиции, почта. Был в Дубках филиал оборонного предприятия «Эльтав» (ныне не действует). В посёлке расположен пансионат «Чайка» в здании советской постройки. Есть небольшой магазин, даже ресторан «ХАДУМ». Главная привлекательная ценность посёлка — через него ведёт дорога к смотровой площадке с видами на Сулакский каньон.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Каспийск,5,"Отзыв написан 23 декабря, 2020, 21:19","Основанный в 1932 году, как рабочий посёлок город Каспийск приобрёл своё нынешнее название в 1947 году. Приморский город раскинулся на площади в 32,9 квадратных километра в непосредственной близости от столицы Махачкалы и являясь её спутником. В 2014 году город признан монопрофильным со сложным социально-экономическим положением. С 2017 года принято решение Минобороны России о том, что город становился основной базой Каспийской флотилии ВМФ России.Рядом с городом проходит железная дорога Махачкала — Дербент. Есть небольшой троллейбусный парк. Основной общественный транспорт — маршрутное такси. Большинство верующих города исповедуют ислам суннитского толка. В Каспийске десяток мечетей, самая большая — им. Саида Афанди. Русская православная церковь представлена Свято-Казанским храмом. Есть в городе и молитвенный дом адвентистов седьмого дня.Из достопримечательностей главная — восьмой цех завода «Дагдизель», расположенный в море в трёх километрах от берега. В Каспийске есть большая гостиница Гранд отель на берегу моря у парка. Многие жители сдают под временное жильё комнаты. Большое количество магазинов, наличие рынков не позволит испытывать трудности с пропитанием, есть в городе и объекты развлекательные: досуговый центр «Москва», аквапарк «Акваленд» и многое другое.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Сорокино,5,"Отзыв написан 23 декабря, 2020, 16:12","В д.Сорокино Старицкого района Тверской области создана группа в контакте.Цель создания группы - объединение жителей деревни для выработки стратегий и решений для взаимодействия с различными органами власти, поиски путей решения проблем и улучшения качества проживания в деревне. А так же для привлечения внимания общественности к проблемам жителей сельской местности. За несколько месяцев в деревне объеденившимся жителям на базе группы в контакте удалось совместными усилиями с Администрацией поселения начать решать вопросы, которые десятилетиями не решались.Например: 1)Установлена новая остановка общественного транспорта рядом с деревней.2) На дороге, ведущей в деревню, осуществлен частичный ямочный ремонт.3) Сделан покос травы в полосе отвода дороги.4) Планируется новая детская площадка.5) Планируется санитарная опилка деревьев весной.6)Частично осуществлен покос травы и борщевика силами жителей деревни и Администрации поселения.7) Планируется очистка пруда.8) Планирутся новая дорога в деревне.И многие другие проблемы находятся в процессе обсуждения с органами власти.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Манаскент,3,"Отзыв написан 22 декабря, 2020, 21:39","Манаскент — посёлок на левом берегу пересохшей реки Манасозень к востоку от Карабудахкента, что в 11 километрах. С запада примыкает вплотную к посёлку Манас. Образован в 1965 году, как посёлок городского типа. Население постоянно растёт ещё со времён Советского Союза. В национальном плане большинство жителей кумыки. Их здесь подавляющее большинство 3256 человек, есть даргинцы — 709 человек и лакцы — 201 человек. Основное занятие — сельское хозяйство. Поселение компактное, много магазинов, организовано автобусное сообщение с Каспийском и Махачкалой. Только вот зелени маловато из-за засушливого климата.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Манас,4,"Отзыв написан 22 декабря, 2020, 21:35","Манас — городское поселение с одноимённой железнодорожной станцией в Карабудахкентском районе Дагестана. Рядом проходит федеральная автотрасса Е119. Население составляет 6214 человек. Национальный состав: даргинцы — 3165 человек, кумыки — 1521 человек, лауцы — 309 человек, аварцы — 265 человек, русские — 52 человека, другие — 45 человек. Основная конфессия — мусульмане-сунниты.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Леваши,4,"Отзыв написан 22 декабря, 2020, 21:30","Леваши — село на реке Халагорк на высоте 1222 метра над уровнем моря, но что характерно, кажется, что оно находилось в некой широкой ложбине. По легенде село — отсёлок села Акуша. Старинных домов в селе я так и не увидел, везде новодел и новострой. Население составляет 11,7 тысяч человек и неуклонно растёт с 2002 года. Основное занятие населения — сельское хозяйство. Из-за своего местоположения село заслуживает внимание для путешественников двигающихся в глубь Дагестана, не на машинах, а на более медленных транспортных средствах, типа на своих двоих.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Гамсутль,5,"Отзыв написан 22 декабря, 2020, 21:27","Гамсутль – заброшенное поселение или село-призрак в 10 километрах на юго-восток от Гуниба у реки Цамтичай на высоте почти полторы тысячи метров. Примерный возраст села 2 тысячи лет. Ещё в прошлом веке это было довольно многолюдным поселением. В горном поселении были магазины, небольшая больница. В пятистах метрах от него на склоне имелся и до сих пор функционирует источник с чистой горной водой. Ныне село опустело и превратилось в призрак. Сама природа участвовала в строительстве домов, ибо одной из стен дома и его пол были сами горы, в которых выдалбливались ниши, а остальные три стены достраивались из камней. Примечательно, что за всю историю многочисленных войн и набегов это село не было взято и занято врагами. Горцы выбрали место для своего поселения так, чтобы до него было трудно добраться. Это было основным условием выживания в неспокойное время. Подход к селу возможен лишь с одной стороны, с других – крутой склон и обрывы. Ныне село приобрело статус достопримечательности. Но если не принять меры по консервации, всё это постепенно будет утеряно, а строения разрушены.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Орешково,5,"Отзыв написан 20 декабря, 2020, 15:40","Прекрасное место, созданное энтузиастами, влюблёнными в небо, обладающими знаниями, терпением, руками, творящими чудеса!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
Чох,5,"Отзыв написан 20 декабря, 2020, 15:35","Чох в Гунибском районе известен, как важный культурный центр Дагестана, расположен на южном склоне плато Турчи-Даг. Одно из самых древних поселений Северного Кавказа. Здесь обнаружена стоянка неолита 6 тысяч лет до нашей эры. Через Чох шёл Великий шёлковый путь. Укрепления села с трёх сторон упираются в крутые труднодоступные обрывы. Для Чоха характерно известное издревле террасовое расположение жилых домов и строений в поселении с узкими улочками и традиционными для жилищ горцев архитектурой, представленной ступенчатой 2-3-х этажной застройкой крутых горных склонов. Важными элементами традиционной архитектуры являются арки, закругленные окна и застекленные веранды. Население Чоха постепенно увеличивается и сейчас составляет более 3200 человек.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=2
