город,оценка,дата
Конаково,2.0,"Отзыв написан 5 февраля, 2021, 15:59"
Новосибирск,2.0,"Отзыв написан 19 января, 2021, 20:48"
Кивлей,3.0,"Отзыв написан 19 января, 2021, 16:02"
Пионерный,5.0,"Отзыв написан 8 января, 2021, 10:29"
остановочный пункт Кумтор-Кале,5.0,"Отзыв написан 8 января, 2021, 10:14"
Тверь,5.0,"Отзыв написан 5 января, 2021, 22:14"
Кронштадт,5.0,"Отзыв написан 5 января, 2021, 10:01"
Тула,4.0,"Отзыв написан 5 января, 2021, 09:34"
Кострома,5.0,"Отзыв написан 5 января, 2021, 09:07"
Негодяйка,5.0,"Отзыв написан 5 января, 2021, 05:24"
Гридино,5.0,"Отзыв написан 4 января, 2021, 23:15"
Мурманск,1.0,"Отзыв написан 29 декабря, 2020, 12:50"
Пригородный,4.0,"Отзыв написан 29 декабря, 2020, 11:35"
Махачкала,4.0,"Отзыв написан 26 декабря, 2020, 18:39"
Талги,5.0,"Отзыв написан 25 декабря, 2020, 13:38"
Чирката,4.0,"Отзыв написан 25 декабря, 2020, 13:19"
Дубки,4.0,"Отзыв написан 24 декабря, 2020, 10:07"
Каспийск,5.0,"Отзыв написан 23 декабря, 2020, 21:19"
Сорокино,5.0,"Отзыв написан 23 декабря, 2020, 16:12"
Манаскент,3.0,"Отзыв написан 22 декабря, 2020, 21:39"
Манас,4.0,"Отзыв написан 22 декабря, 2020, 21:35"
Леваши,4.0,"Отзыв написан 22 декабря, 2020, 21:30"
Гамсутль,5.0,"Отзыв написан 22 декабря, 2020, 21:27"
Орешково,5.0,"Отзыв написан 20 декабря, 2020, 15:40"
Чох,5.0,"Отзыв написан 20 декабря, 2020, 15:35"
Гуниб,5.0,"Отзыв написан 20 декабря, 2020, 15:23"
Киров,5.0,"Отзыв написан 16 декабря, 2020, 19:45"
Киров,5.0,"Отзыв написан 14 декабря, 2020, 16:54"
Териберка,5.0,"Отзыв написан 14 декабря, 2020, 02:26"
Саратов,1.0,"Отзыв написан 7 декабря, 2020, 23:26"
Кегер,4.0,"Отзыв написан 6 декабря, 2020, 21:32"
Кудали,2.0,"Отзыв написан 6 декабря, 2020, 21:27"
Салта,4.0,"Отзыв написан 6 декабря, 2020, 21:22"
Дудинка,3.0,"Отзыв написан 6 декабря, 2020, 10:07"
Инчхе,4.0,"Отзыв написан 5 декабря, 2020, 10:13"
Курми,4.0,"Отзыв написан 3 декабря, 2020, 17:38"
Дербент,5.0,"Отзыв написан 3 декабря, 2020, 16:43"
Кубачи,4.0,"Отзыв написан 29 ноября, 2020, 20:05"
Уркарах,3.0,"Отзыв написан 29 ноября, 2020, 19:52"
Избербаш,3.0,"Отзыв написан 29 ноября, 2020, 19:48"
Новокаякент,3.0,"Отзыв написан 29 ноября, 2020, 19:43"
Уланово,5.0,"Отзыв написан 29 ноября, 2020, 09:01"
Заики,5.0,"Отзыв написан 25 ноября, 2020, 00:03"
Орск,4.0,"Отзыв написан 13 ноября, 2020, 08:05"
Зуевка,1.0,"Отзыв написан 12 ноября, 2020, 17:16"
Киров,4.0,"Отзыв написан 11 ноября, 2020, 18:28"
Киров,4.0,"Отзыв написан 8 ноября, 2020, 18:31"
Голубинка,5.0,"Отзыв написан 5 ноября, 2020, 17:27"
Орск,4.0,"Отзыв написан 2 ноября, 2020, 13:25"
Арзамас,3.0,"Отзыв написан 27 октября, 2020, 08:19"
Саранск,5.0,"Отзыв написан 27 октября, 2020, 08:02"
Волгоград,1.0,"Отзыв написан 27 октября, 2020, 07:56"
Заморино,1.0,"Отзыв написан 25 октября, 2020, 10:39"
Киров,3.0,"Отзыв написан 22 октября, 2020, 16:13"
Киров,4.0,"Отзыв написан 18 октября, 2020, 16:56"
Кошмановка,5.0,"Отзыв написан 17 октября, 2020, 08:47"
Волгоград,5.0,"Отзыв написан 14 октября, 2020, 12:04"
Гнусино,4.0,"Отзыв написан 13 октября, 2020, 17:01"
Киров,3.0,"Отзыв написан 11 октября, 2020, 17:17"
Гнусино,3.0,"Отзыв написан 10 октября, 2020, 17:18"
Шевернево,3.0,"Отзыв написан 6 октября, 2020, 15:34"
Пашково,4.0,"Отзыв написан 6 октября, 2020, 09:24"
Ольховское Озеро,5.0,"Отзыв написан 27 сентября, 2020, 17:26"
Семёнов,4.0,"Отзыв написан 22 сентября, 2020, 09:41"
Саратов,5.0,"Отзыв написан 20 сентября, 2020, 18:45"
Гари,4.0,"Отзыв написан 20 сентября, 2020, 10:10"
Краснодар,1.0,"Отзыв написан 18 сентября, 2020, 14:53"
Маркс,4.0,"Отзыв написан 17 сентября, 2020, 18:20"
Ольховское Озеро,4.0,"Отзыв написан 7 сентября, 2020, 10:44"
Приволжское,4.0,"Отзыв написан 5 сентября, 2020, 07:13"
Мостовик,5.0,"Отзыв написан 3 сентября, 2020, 13:53"
Ульяновск,1.0,"Отзыв написан 31 августа, 2020, 23:48"
Большие Турки,2.0,"Отзыв написан 27 августа, 2020, 10:55"
Кузьмиха,5.0,"Отзыв написан 23 августа, 2020, 15:43"
Заполярный,4.0,"Отзыв написан 23 августа, 2020, 08:11"
Ергелёх (Тастах),4.0,"Отзыв написан 18 августа, 2020, 16:28"
Умёт,5.0,"Отзыв написан 17 августа, 2020, 17:56"
Красноярск,1.0,"Отзыв написан 15 августа, 2020, 11:28"
Вязники,1.0,"Отзыв написан 13 августа, 2020, 14:30"
Белгород,2.0,"Отзыв написан 8 августа, 2020, 01:06"
Першутино,4.0,"Отзыв написан 5 августа, 2020, 16:11"
Широково,1.0,"Отзыв написан 30 июля, 2020, 22:16"
Липецк,2.0,"Отзыв написан 30 июля, 2020, 15:41"
Сахзавод,5.0,"Отзыв написан 29 июля, 2020, 11:28"
Новосибирск,1.0,"Отзыв написан 29 июля, 2020, 07:36"
Шушарина,5.0,"Отзыв написан 27 июля, 2020, 17:10"
Балабаново,4.0,"Отзыв написан 17 июля, 2020, 18:44"
Петрово,4.0,"Отзыв написан 17 июля, 2020, 17:00"
Бабино,2.0,"Отзыв написан 12 июля, 2020, 12:48"
Липецк,1.0,"Отзыв написан 11 июля, 2020, 02:22"
Волгоград,5.0,"Отзыв написан 10 июля, 2020, 13:44"
Родниковый,2.0,"Отзыв написан 29 июня, 2020, 21:55"
Масловка,5.0,"Отзыв написан 27 июня, 2020, 15:56"
Зеленоград,3.0,"Отзыв написан 24 июня, 2020, 21:27"
Казань,1.0,"Отзыв написан 24 июня, 2020, 01:17"
Смидович,4.0,"Отзыв написан 21 июня, 2020, 13:49"
Красуха,5.0,"Отзыв написан 16 июня, 2020, 18:16"
Заозерье,3.0,"Отзыв написан 16 июня, 2020, 18:10"
Колоколуша,1.0,"Отзыв написан 13 июня, 2020, 22:06"
Саратов,5.0,"Отзыв написан 11 июня, 2020, 03:27"
Дубровка,4.0,"Отзыв написан 10 июня, 2020, 20:11"
Лучки,4.0,"Отзыв написан 10 июня, 2020, 20:05"
Заболотье,4.0,"Отзыв написан 10 июня, 2020, 19:57"
Гринино,4.0,"Отзыв написан 10 июня, 2020, 08:33"
Матерово,4.0,"Отзыв написан 9 июня, 2020, 09:49"
Могилево,4.0,"Отзыв написан 9 июня, 2020, 09:41"
Ярославль,5.0,"Отзыв написан 8 июня, 2020, 12:56"
Песчаное,4.0,"Отзыв написан 7 июня, 2020, 22:36"
Мошенка,3.0,"Отзыв написан 6 июня, 2020, 13:00"
Ореховка,3.0,"Отзыв написан 6 июня, 2020, 12:56"
Перетерг,1.0,"Отзыв написан 6 июня, 2020, 12:52"
Поселье,3.0,"Отзыв написан 6 июня, 2020, 12:41"
Сосница,4.0,"Отзыв написан 6 июня, 2020, 12:32"
Турская,4.0,"Отзыв написан 6 июня, 2020, 10:23"
Калуга,1.0,"Отзыв написан 2 июня, 2020, 13:05"
Калуга,1.0,"Отзыв написан 2 июня, 2020, 13:04"
Муллакаево,4.0,"Отзыв написан 31 мая, 2020, 15:32"
Муллакаево,4.0,"Отзыв написан 31 мая, 2020, 15:24"
Заузье,3.0,"Отзыв написан 28 мая, 2020, 20:33"
Медвежье,5.0,"Отзыв написан 28 мая, 2020, 00:41"
Валуйки,5.0,"Отзыв написан 27 мая, 2020, 23:43"
Лучегорск,5.0,"Отзыв написан 27 мая, 2020, 15:21"
Солнечный,4.0,"Отзыв написан 24 мая, 2020, 07:15"
Екатериновка,5.0,"Отзыв написан 20 мая, 2020, 10:06"
Уфа,1.0,"Отзыв написан 18 мая, 2020, 22:19"
Рай,5.0,"Отзыв написан 18 мая, 2020, 00:42"
Черемхово,1.0,"Отзыв написан 16 мая, 2020, 23:56"
Казань,5.0,"Отзыв написан 16 мая, 2020, 19:32"
Брени,2.0,"Отзыв написан 16 мая, 2020, 14:26"
Вяжли,1.0,"Отзыв написан 13 мая, 2020, 19:03"
Барнаул,1.0,"Отзыв написан 10 мая, 2020, 19:38"
Русино,3.0,"Отзыв написан 10 мая, 2020, 18:16"
Магнитогорск,4.0,"Отзыв написан 8 мая, 2020, 10:21"
Зеленовка,5.0,"Отзыв написан 8 мая, 2020, 00:43"
Хабаровск,1.0,"Отзыв написан 7 мая, 2020, 18:03"
Гордеиха,5.0,"Отзыв написан 6 мая, 2020, 02:12"
Гордеиха,5.0,"Отзыв написан 6 мая, 2020, 02:10"
Красноярск,1.0,"Отзыв написан 5 мая, 2020, 21:23"
Мрясимово,5.0,"Отзыв написан 5 мая, 2020, 00:37"
Мрясимово,4.0,"Отзыв написан 5 мая, 2020, 00:35"
Ростов-на-Дону,5.0,"Отзыв написан 4 мая, 2020, 11:12"
Верхнее Атыково,5.0,"Отзыв написан 4 мая, 2020, 04:00"
Кочердык,5.0,"Отзыв написан 2 мая, 2020, 21:54"
Чемское,3.0,"Отзыв написан 30 апреля, 2020, 04:46"
Подгорная Синюха,3.0,"Отзыв написан 29 апреля, 2020, 21:51"
Урай,1.0,"Отзыв написан 29 апреля, 2020, 17:52"
Гаревка,4.0,"Отзыв написан 27 апреля, 2020, 10:52"
Ирбит,1.0,"Отзыв написан 26 апреля, 2020, 15:38"
Ирбит,1.0,"Отзыв написан 26 апреля, 2020, 15:37"
Юрино,4.0,"Отзыв написан 26 апреля, 2020, 15:11"
Фроловка,5.0,"Отзыв написан 25 апреля, 2020, 17:40"
Деревково,3.0,"Отзыв написан 25 апреля, 2020, 17:02"
Белёв,5.0,"Отзыв написан 25 апреля, 2020, 16:10"
Токовица,2.0,"Отзыв написан 24 апреля, 2020, 13:21"
Никитиха,1.0,"Отзыв написан 24 апреля, 2020, 11:32"
Старопесчаное,3.0,"Отзыв написан 23 апреля, 2020, 12:39"
Владивосток,1.0,"Отзыв написан 16 апреля, 2020, 12:37"
Саратов,5.0,"Отзыв написан 13 апреля, 2020, 09:12"
Михайлово,5.0,"Отзыв написан 5 апреля, 2020, 13:36"
Иркутск,2.0,"Отзыв написан 2 апреля, 2020, 09:39"
Петропавловка,5.0,"Отзыв написан 31 марта, 2020, 14:37"
Батрацкая Дача,4.0,"Отзыв написан 30 марта, 2020, 18:34"
Сочи,5.0,"Отзыв написан 29 марта, 2020, 20:42"
Ростов-на-Дону,5.0,"Отзыв написан 29 марта, 2020, 20:41"
Поповка,1.0,"Отзыв написан 29 марта, 2020, 15:15"
Пеньки,5.0,"Отзыв написан 26 марта, 2020, 19:01"
Балды-Кня,5.0,"Отзыв написан 24 марта, 2020, 17:36"
Красная,5.0,"Отзыв написан 23 марта, 2020, 20:04"
Гоуджекит,1.0,"Отзыв написан 20 марта, 2020, 19:42"
Покровка,5.0,"Отзыв написан 19 марта, 2020, 17:49"
Сегежа,5.0,"Отзыв написан 18 марта, 2020, 17:21"
Моленый Мыс,1.0,"Отзыв написан 18 марта, 2020, 00:06"
Репье,5.0,"Отзыв написан 15 марта, 2020, 23:40"
Мунай,5.0,"Отзыв написан 12 марта, 2020, 05:53"
Ненастье,3.0,"Отзыв написан 11 марта, 2020, 09:42"
Новосибирск,4.0,"Отзыв написан 10 марта, 2020, 18:17"
Шахты,1.0,"Отзыв написан 10 марта, 2020, 17:02"
Зимник,4.0,"Отзыв написан 9 марта, 2020, 09:22"
Воронеж,2.0,"Отзыв написан 5 марта, 2020, 17:06"
Дальнее Ляпино,1.0,"Отзыв написан 3 марта, 2020, 10:57"
Самара,4.0,"Отзыв написан 2 марта, 2020, 18:53"
Сопка,5.0,"Отзыв написан 1 марта, 2020, 07:39"
Алмак,5.0,"Отзыв написан 28 февраля, 2020, 10:23"
Новосибирск,1.0,"Отзыв написан 28 февраля, 2020, 06:46"
Чебоксары,3.0,"Отзыв написан 27 февраля, 2020, 15:48"
Новосибирск,1.0,"Отзыв написан 24 февраля, 2020, 14:52"
Смольники,4.0,"Отзыв написан 24 февраля, 2020, 03:19"
Обуховка,5.0,"Отзыв написан 21 февраля, 2020, 23:10"
Голодяево,2.0,"Отзыв написан 19 февраля, 2020, 04:45"
Артельный,5.0,"Отзыв написан 18 февраля, 2020, 13:19"
Томск,4.0,"Отзыв написан 14 февраля, 2020, 18:31"
Новосибирск,1.0,"Отзыв написан 14 февраля, 2020, 18:18"
Илюшкино,5.0,"Отзыв написан 12 февраля, 2020, 09:59"
Порошино,5.0,"Отзыв написан 9 февраля, 2020, 18:54"
Ярцево,4.0,"Отзыв написан 7 февраля, 2020, 18:42"
Каликино,4.0,"Отзыв написан 3 февраля, 2020, 10:14"
Билибино,1.0,"Отзыв написан 23 января, 2020, 21:37"
Янино,4.0,"Отзыв написан 22 января, 2020, 14:24"
Всини,5.0,"Отзыв написан 20 января, 2020, 22:00"
Ягодно,5.0,"Отзыв написан 20 января, 2020, 21:56"
Лиски,2.0,"Отзыв написан 19 января, 2020, 22:48"
Сызрань,2.0,"Отзыв написан 16 января, 2020, 18:20"
Владимир,2.0,"Отзыв написан 16 января, 2020, 18:11"
Проран,1.0,"Отзыв написан 16 января, 2020, 15:23"
Кропоткин,1.0,"Отзыв написан 16 января, 2020, 00:30"
Щегловка,4.0,"Отзыв написан 10 января, 2020, 13:19"
Щегловка,4.0,"Отзыв написан 10 января, 2020, 13:13"
Малофедоровка,5.0,"Отзыв написан 8 января, 2020, 15:13"
Линец,3.0,"Отзыв написан 6 января, 2020, 23:43"
Горбуновщина,4.0,"Отзыв написан 5 января, 2020, 10:25"
Солнечный,5.0,"Отзыв написан 4 января, 2020, 02:01"
Морево,4.0,"Отзыв написан 2 января, 2020, 23:04"
Морево,4.0,"Отзыв написан 2 января, 2020, 23:02"
Хабаровск,4.0,"Отзыв написан 29 декабря, 2019, 21:33"
Белинский,1.0,"Отзыв написан 29 декабря, 2019, 19:04"
Тверь,5.0,"Отзыв написан 26 декабря, 2019, 17:06"
Волоколамск,1.0,"Отзыв написан 26 декабря, 2019, 15:36"
Лыткарино,1.0,"Отзыв написан 22 декабря, 2019, 23:02"
Черноголовка,5.0,"Отзыв написан 17 декабря, 2019, 17:22"
Черная Слобода,5.0,"Отзыв написан 15 декабря, 2019, 07:28"
Балашиха,3.0,"Отзыв написан 13 декабря, 2019, 18:15"
Новосибирск,1.0,"Отзыв написан 13 декабря, 2019, 17:02"
Лебединый,3.0,"Отзыв написан 11 декабря, 2019, 11:11"
Розановский,5.0,"Отзыв написан 10 декабря, 2019, 12:59"
Весляна,4.0,"Отзыв написан 4 декабря, 2019, 01:56"
Шерегеш,1.0,"Отзыв написан 2 декабря, 2019, 11:12"
Голодяйка,5.0,"Отзыв написан 2 декабря, 2019, 08:57"
Огариха,5.0,"Отзыв написан 30 ноября, 2019, 23:27"
Осинники,1.0,"Отзыв написан 30 ноября, 2019, 09:19"
Коломна,4.0,"Отзыв написан 29 ноября, 2019, 17:46"
Соловецкий,5.0,"Отзыв написан 29 ноября, 2019, 17:30"
Казань,1.0,"Отзыв написан 28 ноября, 2019, 18:31"
Зарайск,5.0,"Отзыв написан 28 ноября, 2019, 16:33"
Менчереп,5.0,"Отзыв написан 28 ноября, 2019, 01:56"
Петромихайловка,4.0,"Отзыв написан 26 ноября, 2019, 12:09"
Калуга,5.0,"Отзыв написан 25 ноября, 2019, 10:57"
Кордюково,5.0,"Отзыв написан 24 ноября, 2019, 22:47"
Кордюково,5.0,"Отзыв написан 24 ноября, 2019, 22:42"
Шинкин,5.0,"Отзыв написан 24 ноября, 2019, 15:47"
Луза,4.0,"Отзыв написан 19 ноября, 2019, 22:06"
Владивосток,2.0,"Отзыв написан 19 ноября, 2019, 01:53"
Мурманск,1.0,"Отзыв написан 17 ноября, 2019, 15:04"
Пискуны,3.0,"Отзыв написан 17 ноября, 2019, 06:07"
Новосибирск,1.0,"Отзыв написан 17 ноября, 2019, 03:21"
Сафоново,4.0,"Отзыв написан 8 ноября, 2019, 14:16"
Лангепас,3.0,"Отзыв написан 8 ноября, 2019, 10:11"
Кеслома,2.0,"Отзыв написан 8 ноября, 2019, 08:20"
Переславль-Залесский,3.0,"Отзыв написан 7 ноября, 2019, 19:27"
Родионово-Несветайская,3.0,"Отзыв написан 6 ноября, 2019, 21:25"
Алисово,5.0,"Отзыв написан 6 ноября, 2019, 12:25"
Новосибирск,4.0,"Отзыв написан 1 ноября, 2019, 10:01"
Ильинское,5.0,"Отзыв написан 29 октября, 2019, 12:15"
Пятигорск,5.0,"Отзыв написан 28 октября, 2019, 18:33"
Кемерово,5.0,"Отзыв написан 27 октября, 2019, 18:01"
Благодатное,5.0,"Отзыв написан 26 октября, 2019, 08:15"
Ульяновск,2.0,"Отзыв написан 25 октября, 2019, 11:37"
Верхний,5.0,"Отзыв написан 25 октября, 2019, 11:23"
Ковров,3.0,"Отзыв написан 23 октября, 2019, 01:27"
Комсомольск-на-Амуре,1.0,"Отзыв написан 21 октября, 2019, 10:06"
Усть-Унья,5.0,"Отзыв написан 19 октября, 2019, 15:08"
Гнусово,5.0,"Отзыв написан 17 октября, 2019, 12:20"
Прозорово,5.0,"Отзыв написан 16 октября, 2019, 12:55"
Томск,1.0,"Отзыв написан 14 октября, 2019, 22:48"
Елисеево,4.0,"Отзыв написан 14 октября, 2019, 16:12"
Краснодар,1.0,"Отзыв написан 12 октября, 2019, 10:42"
Глубокая,4.0,"Отзыв написан 11 октября, 2019, 16:43"
Кокошилово,5.0,"Отзыв написан 11 октября, 2019, 15:12"
Петропавловск-Камчатский,5.0,"Отзыв написан 10 октября, 2019, 16:09"
Домодедово,5.0,"Отзыв написан 10 октября, 2019, 09:33"
Сальск,5.0,"Отзыв написан 9 октября, 2019, 11:50"
Волгоград,4.0,"Отзыв написан 8 октября, 2019, 18:48"
Троицкое,5.0,"Отзыв написан 4 октября, 2019, 21:21"
Сергиев Посад,1.0,"Отзыв написан 4 октября, 2019, 12:24"
Челябинск,1.0,"Отзыв написан 4 октября, 2019, 05:28"
Слободка,5.0,"Отзыв написан 1 октября, 2019, 17:13"
Иркутск,1.0,"Отзыв написан 26 сентября, 2019, 16:55"
Усинск,1.0,"Отзыв написан 26 сентября, 2019, 07:58"
Окчары,4.0,"Отзыв написан 25 сентября, 2019, 19:19"
Слюдянка,4.0,"Отзыв написан 24 сентября, 2019, 18:48"
Екатеринбург,5.0,"Отзыв написан 24 сентября, 2019, 18:23"
Галич,4.0,"Отзыв написан 24 сентября, 2019, 18:12"
Холка,5.0,"Отзыв написан 23 сентября, 2019, 11:57"
Брохово,4.0,"Отзыв написан 21 сентября, 2019, 11:18"
Холкина,5.0,"Отзыв написан 19 сентября, 2019, 13:29"
Казань,5.0,"Отзыв написан 18 сентября, 2019, 18:25"
Челябинск,1.0,"Отзыв написан 17 сентября, 2019, 20:03"
Краснодар,1.0,"Отзыв написан 17 сентября, 2019, 13:43"
Дмитров,5.0,"Отзыв написан 16 сентября, 2019, 17:27"
Пенза,2.0,"Отзыв написан 14 сентября, 2019, 15:32"
Волгоград,1.0,"Отзыв написан 13 сентября, 2019, 21:30"
Барнаул,1.0,"Отзыв написан 13 сентября, 2019, 16:29"
Хабаровск,1.0,"Отзыв написан 13 сентября, 2019, 05:45"
Неман,2.0,"Отзыв написан 12 сентября, 2019, 19:14"
Кубань,1.0,"Отзыв написан 12 сентября, 2019, 11:49"
Владивосток,1.0,"Отзыв написан 12 сентября, 2019, 04:24"
Рабочий,1.0,"Отзыв написан 11 сентября, 2019, 22:12"
Ильменевский,5.0,"Отзыв написан 8 сентября, 2019, 21:45"
Селезни,1.0,"Отзыв написан 7 сентября, 2019, 20:48"
Великий Новгород,1.0,"Отзыв написан 7 сентября, 2019, 17:17"
Солнце,5.0,"Отзыв написан 5 сентября, 2019, 10:20"
Солнце,5.0,"Отзыв написан 5 сентября, 2019, 10:20"
Москва,2.0,"Отзыв написан 5 сентября, 2019, 01:06"
Челябинск,1.0,"Отзыв написан 3 сентября, 2019, 10:48"
Никола-Ленивец,4.0,"Отзыв написан 2 сентября, 2019, 11:26"
Загорье,5.0,"Отзыв написан 1 сентября, 2019, 10:05"
Киргишаны,5.0,"Отзыв написан 31 августа, 2019, 20:17"
Приполярный,2.0,"Отзыв написан 29 августа, 2019, 12:59"
Хулимсунт,2.0,"Отзыв написан 29 августа, 2019, 12:56"
Дюртюли,3.0,"Отзыв написан 29 августа, 2019, 12:53"
Северное,3.0,"Отзыв написан 29 августа, 2019, 12:52"
Сергиевск,2.0,"Отзыв написан 29 августа, 2019, 12:50"
Самара,3.0,"Отзыв написан 29 августа, 2019, 12:49"
Сызрань,3.0,"Отзыв написан 29 августа, 2019, 12:41"
Ставрополь,3.0,"Отзыв написан 29 августа, 2019, 12:34"
Сальск,3.0,"Отзыв написан 29 августа, 2019, 12:27"
Ростов-на-Дону,3.0,"Отзыв написан 29 августа, 2019, 12:26"
Кочетовка,5.0,"Отзыв написан 28 августа, 2019, 20:01"
Уфа,1.0,"Отзыв написан 28 августа, 2019, 10:39"
Новосибирск,1.0,"Отзыв написан 28 августа, 2019, 03:30"
Нижний Новгород,1.0,"Отзыв написан 28 августа, 2019, 03:19"
Таруса,5.0,"Отзыв написан 26 августа, 2019, 09:42"
Подгорное,5.0,"Отзыв написан 26 августа, 2019, 08:40"
Аннино,5.0,"Отзыв написан 23 августа, 2019, 16:00"
Курган,1.0,"Отзыв написан 20 августа, 2019, 15:01"
Лупполово,1.0,"Отзыв написан 19 августа, 2019, 10:11"
Архара,5.0,"Отзыв написан 16 августа, 2019, 19:23"
Федоренко,1.0,"Отзыв написан 14 августа, 2019, 14:13"
Новотимошкино,5.0,"Отзыв написан 14 августа, 2019, 13:53"
Фролово,5.0,"Отзыв написан 9 августа, 2019, 17:36"
Салым,5.0,"Отзыв написан 9 августа, 2019, 11:13"
Галечник,1.0,"Отзыв написан 9 августа, 2019, 06:21"
Сочи,1.0,"Отзыв написан 8 августа, 2019, 00:14"
Пермь,1.0,"Отзыв написан 6 августа, 2019, 17:08"
Шихово,3.0,"Отзыв написан 6 августа, 2019, 16:53"
Соль-Илецк,1.0,"Отзыв написан 6 августа, 2019, 12:35"
Будённовск,3.0,"Отзыв написан 6 августа, 2019, 01:09"
Переверзевка,5.0,"Отзыв написан 3 августа, 2019, 11:55"
Весьегонск,1.0,"Отзыв написан 1 августа, 2019, 21:36"
Озерпах,5.0,"Отзыв написан 1 августа, 2019, 18:08"
Соль-Илецк,1.0,"Отзыв написан 31 июля, 2019, 21:00"
Дзержинск,2.0,"Отзыв написан 31 июля, 2019, 14:27"
Астрахань,5.0,"Отзыв написан 31 июля, 2019, 09:04"
Елшанка,4.0,"Отзыв написан 27 июля, 2019, 00:32"
Третьяково,4.0,"Отзыв написан 26 июля, 2019, 17:32"
Макшеево,3.0,"Отзыв написан 26 июля, 2019, 17:17"
Суворов,2.0,"Отзыв написан 25 июля, 2019, 11:19"
Молдовка,5.0,"Отзыв написан 25 июля, 2019, 05:51"
Подберезы,1.0,"Отзыв написан 24 июля, 2019, 18:19"
Барамзы,2.0,"Отзыв написан 24 июля, 2019, 17:51"
Михальцево,5.0,"Отзыв написан 23 июля, 2019, 14:32"
Михальцево,5.0,"Отзыв написан 23 июля, 2019, 14:27"
Саратов,2.0,"Отзыв написан 23 июля, 2019, 08:42"
Сочи,1.0,"Отзыв написан 22 июля, 2019, 05:27"
Алексеевка,5.0,"Отзыв написан 18 июля, 2019, 23:17"
Троицк,1.0,"Отзыв написан 18 июля, 2019, 16:12"
Макеенки,5.0,"Отзыв написан 18 июля, 2019, 15:11"
Перха,1.0,"Отзыв написан 18 июля, 2019, 11:38"
Верхние Шабуры,1.0,"Отзыв написан 18 июля, 2019, 10:35"
Воронеж,3.0,"Отзыв написан 17 июля, 2019, 18:02"
Елховка,1.0,"Отзыв написан 16 июля, 2019, 21:31"
Средние Чуди,5.0,"Отзыв написан 16 июля, 2019, 19:43"
Краснодар,2.0,"Отзыв написан 16 июля, 2019, 17:25"
Новосибирск,4.0,"Отзыв написан 15 июля, 2019, 07:47"
Казань,5.0,"Отзыв написан 15 июля, 2019, 07:40"
Сортавала,2.0,"Отзыв написан 14 июля, 2019, 15:53"
Москва,3.0,"Отзыв написан 14 июля, 2019, 13:21"
Сопятино,4.0,"Отзыв написан 14 июля, 2019, 06:13"
Набережные Челны,2.0,"Отзыв написан 12 июля, 2019, 21:12"
Нижний Новгород,5.0,"Отзыв написан 12 июля, 2019, 01:41"
Самара,1.0,"Отзыв написан 10 июля, 2019, 14:28"
Самара,1.0,"Отзыв написан 10 июля, 2019, 14:19"
Козюлькина,5.0,"Отзыв написан 7 июля, 2019, 09:55"
Прудник,5.0,"Отзыв написан 6 июля, 2019, 20:04"
Шутово,5.0,"Отзыв написан 5 июля, 2019, 23:27"
Воронеж,2.0,"Отзыв написан 3 июля, 2019, 21:31"
Плёс,5.0,"Отзыв написан 3 июля, 2019, 21:29"
